,Food code,Main food description,WWEIA Category description,Ingredient description
6530,27311625,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6531,27311625,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6532,27311625,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6533,27311625,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Vegetable oil  NFS
6534,27311625,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Salt  table  iodized
6535,27311630,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6536,27311630,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Tomato products  canned  sauce
6537,27311630,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6538,27311630,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6539,27311630,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6540,27311630,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Vegetable oil  NFS
6541,27311630,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Salt  table  iodized
6542,27311635,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6543,27311635,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Meat mixed dishes,Cheese sauce  prepared from recipe
6544,27311635,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6545,27311635,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6546,27311635,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6547,27311635,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Meat mixed dishes,Salt  table  iodized
6548,27311640,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6549,27311640,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Cheese sauce  prepared from recipe
6550,27311640,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6551,27311640,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6552,27311640,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6553,27311640,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Salt  table  iodized
6554,27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6555,27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Vegetable oil  NFS
6556,27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Garlic  raw
6557,27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Ginger root  raw
6558,27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Onions  cooked  boiled  drained  without salt
6559,27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Onions  spring or scallions (includes tops and bulb)  raw
6560,27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Soy sauce made from soy and wheat (shoyu)
6561,27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Soup  beef broth or bouillon canned  ready-to-serve
6562,27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Potatoes  boiled  cooked without skin  flesh  without salt
6563,27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Carrots  cooked  boiled  drained  without salt
