ingredient,food_description,ingredient_iD,carbs,cholesterol,fiber,calories,protein,sugar,monosaturated_fat,polysaturated_fat,saturated_fat,sodium
BARBECUE LOAF,"BARBECUE LOAF,PORK,BEEF",7001,6.4,37,0.0,173,15.84,0.0,4.14,0.81,3.17,1334
BEERWURST,"BEERWURST,BEER SALAMI,PORK & BF",7002,3.76,62,0.899999976,277,14.0,0.0,10.105,2.08,8.438,732
BEERWURST,"BEERWURST,BEER SALAMI,PORK",7003,2.06,59,0.0,238,14.24,0.0,8.98,2.36,6.28,1240
No Category,SAUSAGE  BERLINER  PORK  BF,7004,2.59,46,0.0,230,15.27,2.349999905,8.0,1.58,6.08,1297
No Category,BLOOD SAUSAGE,7005,1.29,120,0.0,379,14.6,1.289999962,15.9,3.46,13.4,680
No Category,BOCKWURST  PORK  VEAL  RAW,7006,2.95,93,1.0,301,14.03,1.330000043,13.138,2.328,10.256,497
BOLOGNA,"BOLOGNA,BF",7007,3.98,56,0.0,311,10.27,0.0,12.218,0.776,11.134,1080
BOLOGNA,"BOLOGNA,BF & PORK",7008,5.49,60,0.0,308,15.2,4.420000076,10.526,1.12,9.301,736
BOLOGNA,"BOLOGNA,PORK",7010,0.73,59,0.0,247,15.3,0.0,9.78,2.12,6.88,1184
No Category,BOLOGNA  TURKEY,7011,4.68,75,0.5,209,11.42,2.900000095,6.836,3.854,4.355,1252
BRATWURST,"BRATWURST,PORK,CKD",7013,2.85,74,0.0,333,13.72,0.0,14.692,2.632,9.998,846
BRAUNSCHWEIGER (A LIVER SAUSAGE),"BRAUNSCHWEIGER (A LIVER SAUSAGE),PORK",7014,3.1,180,0.0,327,14.5,0.0,12.731,3.193,9.307,1160
BROTWURST,"BROTWURST,PORK,BF,LINK",7015,2.93,63,0.0,323,14.3,2.980000019,13.34,2.83,9.93,1112
CHEESEFURTER,"CHEESEFURTER,CHS SMOKIE,PORK,BF",7016,1.51,68,0.0,328,14.1,1.50999999,13.64,3.02,10.47,1082
No Category,CHICKEN ROLL  LT MEAT,7017,4.66,45,0.0,110,16.64,0.569999993,0.89,0.374,0.621,1059
No Category,CHICKEN SPRD,7018,4.05,56,0.300000012,158,18.01,0.469999999,4.8,2.35,3.23,722
CHORIZO,"CHORIZO,PORK AND BEEF",7019,1.86,88,0.0,455,24.1,0.0,18.4,3.46,14.38,1235
