,0
1745,662416
1746,662427
1747,646043
1748,654258
1749,637876
1750,662458
1751,1039293
1752,662463
1753,654271
1754,654274
1755,637890
1756,654285
1757,662479
1758,637904
1759,1514457
1760,637923
1761,654313
1762,654318
1763,637942
1764,646136
1765,646138
1766,654331
1767,654353
1768,654361
1769,662558
1770,662560
1771,654371
1772,1457187
1773,646183
1774,654379
1775,662584
1776,654396
1777,654403
1778,654409
1779,662607
1780,1449043
1781,646228
1782,654425
1783,654429
1784,654432
1785,654435
1786,654439
1787,662649
1788,638074
1789,638073
1790,662654
1791,629887
1792,654468
1793,654469
1794,638085
1795,638088
1796,654475
1797,662669
1798,662670
1799,646286
1800,654487
1801,638108
1802,646302
1803,638125
1804,638131
1805,654516
1806,654523
1807,654527
1808,646339
1809,638148
1810,646340
1811,654532
1812,64720
1813,646353
1814,646361
1815,638174
1816,654568
1817,654573
1818,638190
1819,662773
1820,638219
1821,646417
1822,638231
1823,646424
1824,654617
1825,638236
1826,638245
1827,638249
1828,646442
1829,638263
1830,646461
1831,654655
1832,646484
1833,638292
1834,646486
1835,662871
1836,646491
1837,982365
1838,982367
1839,654688
1840,662883
1841,646499
1842,982375
1843,982376
1844,638315
1845,662895
1846,646512
1847,646515
1848,646561
1849,638369
1850,646565
1851,646567
1852,646572
1853,638385
1854,638389
1855,646589
1856,662997
1857,654812
1858,646626
1859,638455
1860,646651
1861,769533
1862,638464
1863,663043
1864,646660
1865,654857
1866,663050
1867,663054
1868,638488
1869,638493
1870,654883
1871,654897
1872,654902
1873,646713
1874,654905
1875,646729
1876,663121
1877,646738
1878,654936
1879,638552
1880,654939
1881,638557
1882,663144
1883,638568
1884,654967
1885,663166
1886,663169
1887,638593
1888,638604
1889,1171085
1890,622240
1891,638626
1892,646833
1893,663222
1894,655030
1895,1056442
1896,663227
1897,646847
1898,638668
1899,655055
1900,655062
1901,655064
1902,769754
1903,646906
1904,655098
1905,638717
1906,655103
1907,638722
1908,646930
1909,638744
1910,655132
1911,646941
1912,991010
1913,655145
1914,663338
1915,638771
1916,638780
1917,638784
1918,32579
1919,655178
1920,655181
1921,638797
1922,638808
1923,638816
1924,638819
1925,663398
1926,638822
1927,663403
1928,638831
1929,638832
1930,638852
1931,647046
1932,655239
1933,638871
1934,663448
1935,647065
1936,647068
1937,638879
1938,663462
1939,663466
1940,647093
1941,638922
1942,638923
1943,663500
1944,638927
1945,655313
1946,655316
1947,647124
1948,638942
1949,663520
1950,655330
1951,647142
1952,663535
1953,655347
1954,663545
