,Spoonacular Recipe ID,Recipe,Recipe Sodium,Recipe Sugar
430,632118,Almond Cranberry Cookies,41mg,1g
431,632118,Almond Cranberry Cookies,41mg,1g
432,632118,Almond Cranberry Cookies,41mg,1g
433,632118,Almond Cranberry Cookies,41mg,1g
434,632118,Almond Cranberry Cookies,41mg,1g
435,632118,Almond Cranberry Cookies,41mg,1g
436,632118,Almond Cranberry Cookies,41mg,1g
437,632118,Almond Cranberry Cookies,41mg,1g
438,632118,Almond Cranberry Cookies,41mg,1g
439,632118,Almond Cranberry Cookies,41mg,1g
440,632118,Almond Cranberry Cookies,41mg,1g
441,632118,Almond Cranberry Cookies,41mg,1g
442,632118,Almond Cranberry Cookies,41mg,1g
443,632118,Almond Cranberry Cookies,41mg,1g
444,632118,Almond Cranberry Cookies,41mg,1g
445,632118,Almond Cranberry Cookies,41mg,1g
446,632118,Almond Cranberry Cookies,41mg,1g
447,632118,Almond Cranberry Cookies,41mg,1g
448,632118,Almond Cranberry Cookies,41mg,1g
449,632118,Almond Cranberry Cookies,41mg,1g
450,632118,Almond Cranberry Cookies,41mg,1g
451,632118,Almond Cranberry Cookies,41mg,1g
452,632118,Almond Cranberry Cookies,41mg,1g
453,632118,Almond Cranberry Cookies,41mg,1g
454,632118,Almond Cranberry Cookies,41mg,1g
455,632118,Almond Cranberry Cookies,41mg,1g
456,632118,Almond Cranberry Cookies,41mg,1g
457,632118,Almond Cranberry Cookies,41mg,1g
458,632118,Almond Cranberry Cookies,41mg,1g
459,632118,Almond Cranberry Cookies,41mg,1g
460,632118,Almond Cranberry Cookies,41mg,1g
461,632118,Almond Cranberry Cookies,41mg,1g
462,632118,Almond Cranberry Cookies,41mg,1g
463,632118,Almond Cranberry Cookies,41mg,1g
464,632118,Almond Cranberry Cookies,41mg,1g
465,632118,Almond Cranberry Cookies,41mg,1g
466,632118,Almond Cranberry Cookies,41mg,1g
467,632118,Almond Cranberry Cookies,41mg,1g
468,632118,Almond Cranberry Cookies,41mg,1g
469,632118,Almond Cranberry Cookies,41mg,1g
470,632118,Almond Cranberry Cookies,41mg,1g
471,632118,Almond Cranberry Cookies,41mg,1g
472,632118,Almond Cranberry Cookies,41mg,1g
473,632118,Almond Cranberry Cookies,41mg,1g
474,632118,Almond Cranberry Cookies,41mg,1g
475,632118,Almond Cranberry Cookies,41mg,1g
476,632118,Almond Cranberry Cookies,41mg,1g
477,632118,Almond Cranberry Cookies,41mg,1g
478,632118,Almond Cranberry Cookies,41mg,1g
479,632118,Almond Cranberry Cookies,41mg,1g
480,632118,Almond Cranberry Cookies,41mg,1g
481,632118,Almond Cranberry Cookies,41mg,1g
482,632118,Almond Cranberry Cookies,41mg,1g
483,632118,Almond Cranberry Cookies,41mg,1g
484,632118,Almond Cranberry Cookies,41mg,1g
485,632118,Almond Cranberry Cookies,41mg,1g
486,632118,Almond Cranberry Cookies,41mg,1g
487,632118,Almond Cranberry Cookies,41mg,1g
488,632118,Almond Cranberry Cookies,41mg,1g
489,632118,Almond Cranberry Cookies,41mg,1g
490,632118,Almond Cranberry Cookies,41mg,1g
491,632118,Almond Cranberry Cookies,41mg,1g
492,632118,Almond Cranberry Cookies,41mg,1g
493,632118,Almond Cranberry Cookies,41mg,1g
494,632118,Almond Cranberry Cookies,41mg,1g
495,632118,Almond Cranberry Cookies,41mg,1g
496,632118,Almond Cranberry Cookies,41mg,1g
497,632118,Almond Cranberry Cookies,41mg,1g
498,632118,Almond Cranberry Cookies,41mg,1g
499,632118,Almond Cranberry Cookies,41mg,1g
500,632118,Almond Cranberry Cookies,41mg,1g
501,632118,Almond Cranberry Cookies,41mg,1g
502,632118,Almond Cranberry Cookies,41mg,1g
503,632118,Almond Cranberry Cookies,41mg,1g
504,632118,Almond Cranberry Cookies,41mg,1g
505,632118,Almond Cranberry Cookies,41mg,1g
506,632118,Almond Cranberry Cookies,41mg,1g
507,632118,Almond Cranberry Cookies,41mg,1g
508,632118,Almond Cranberry Cookies,41mg,1g
509,632118,Almond Cranberry Cookies,41mg,1g
510,632118,Almond Cranberry Cookies,41mg,1g
511,632118,Almond Cranberry Cookies,41mg,1g
512,632118,Almond Cranberry Cookies,41mg,1g
513,632118,Almond Cranberry Cookies,41mg,1g
514,632118,Almond Cranberry Cookies,41mg,1g
515,632118,Almond Cranberry Cookies,41mg,1g
516,632118,Almond Cranberry Cookies,41mg,1g
517,632118,Almond Cranberry Cookies,41mg,1g
518,632118,Almond Cranberry Cookies,41mg,1g
519,632118,Almond Cranberry Cookies,41mg,1g
520,632118,Almond Cranberry Cookies,41mg,1g
521,632118,Almond Cranberry Cookies,41mg,1g
522,632118,Almond Cranberry Cookies,41mg,1g
523,632118,Almond Cranberry Cookies,41mg,1g
524,632118,Almond Cranberry Cookies,41mg,1g
525,632118,Almond Cranberry Cookies,41mg,1g
526,632118,Almond Cranberry Cookies,41mg,1g
527,632118,Almond Cranberry Cookies,41mg,1g
528,632118,Almond Cranberry Cookies,41mg,1g
529,632118,Almond Cranberry Cookies,41mg,1g
530,632118,Almond Cranberry Cookies,41mg,1g
531,632118,Almond Cranberry Cookies,41mg,1g
532,632118,Almond Cranberry Cookies,41mg,1g
533,632118,Almond Cranberry Cookies,41mg,1g
534,632118,Almond Cranberry Cookies,41mg,1g
535,632118,Almond Cranberry Cookies,41mg,1g
536,632118,Almond Cranberry Cookies,41mg,1g
537,632118,Almond Cranberry Cookies,41mg,1g
538,632118,Almond Cranberry Cookies,41mg,1g
539,632118,Almond Cranberry Cookies,41mg,1g
540,632118,Almond Cranberry Cookies,41mg,1g
541,632118,Almond Cranberry Cookies,41mg,1g
542,632118,Almond Cranberry Cookies,41mg,1g
543,632118,Almond Cranberry Cookies,41mg,1g
544,632118,Almond Cranberry Cookies,41mg,1g
545,632118,Almond Cranberry Cookies,41mg,1g
546,632118,Almond Cranberry Cookies,41mg,1g
547,632118,Almond Cranberry Cookies,41mg,1g
548,632118,Almond Cranberry Cookies,41mg,1g
549,632118,Almond Cranberry Cookies,41mg,1g
550,632118,Almond Cranberry Cookies,41mg,1g
551,632118,Almond Cranberry Cookies,41mg,1g
